iter	Passed	Remaining
470	677	760
471	677	758
472	678	756
473	679	754
474	680	751
475	681	749
476	681	747
477	682	745
478	683	743
479	684	741
480	685	739
481	686	737
482	687	735
483	688	733
484	688	731
485	689	729
486	690	727
487	691	725
488	691	723
489	692	720
490	693	718
491	694	716
492	695	714
493	696	712
494	696	710
495	697	709
496	698	707
497	699	705
498	700	703
499	701	701
500	702	699
501	703	697
502	704	695
503	705	693
504	705	691
505	706	689
506	707	688
507	708	686
508	709	684
509	710	682
510	710	680
511	711	678
512	712	676
513	713	674
514	714	672
515	715	670
516	716	668
517	716	667
518	717	665
519	718	663
520	719	661
521	720	659
522	720	657
523	721	655
524	722	653
525	723	651
526	724	649
527	724	647
528	725	646
529	726	644
530	727	642
531	728	640
532	729	639
533	730	637
534	731	635
535	732	633
536	733	631
537	733	630
538	734	628
539	735	626
540	736	624
541	736	622
542	737	620
543	738	618
544	739	616
545	739	615
546	740	613
547	741	611
548	742	609
549	743	607
550	743	606
551	744	604
552	745	602
553	746	600
554	747	599
555	748	597
556	749	596
557	750	594
558	750	592
559	751	590
560	752	588
561	753	586
562	753	585
563	754	583
564	755	581
565	756	579
566	756	578
567	757	576
568	758	574
569	759	573
570	760	571
571	761	569
572	762	568
573	763	566
574	764	565
575	765	563
576	766	561
577	767	560
578	767	558
579	768	556
580	769	555
581	770	553
582	771	551
583	772	550
584	773	548
585	774	546
586	774	545
587	775	543
588	776	541
589	777	540
590	778	538
591	778	536
592	779	535
593	780	533
594	781	531
595	782	530
596	782	528
597	783	526
598	784	525
599	785	523
600	786	521
601	787	520
602	787	518
603	788	517
604	789	515
605	790	514
606	791	512
607	792	511
608	793	509
609	794	507
610	795	506
611	795	504
612	796	503
613	797	501
614	798	499
615	799	498
616	800	496
617	800	495
618	801	493
619	802	491
620	803	490
621	804	488
622	805	487
623	806	485
624	808	485
625	810	484
626	812	483
627	813	481
628	814	480
629	815	478
630	816	477
631	818	476
632	820	475
633	821	474
634	822	472
635	823	471
636	824	470
637	826	468
638	827	467
639	827	465
640	828	464
641	829	462
642	830	460
643	831	459
644	831	457
645	832	456
646	833	454
647	834	453
648	835	451
649	836	450
650	837	448
651	838	447
652	838	445
653	839	444
654	840	442
655	841	441
656	842	439
657	842	438
658	843	436
659	844	434
660	845	433
661	845	431
662	846	430
663	847	429
664	849	427
665	849	426
666	850	424
667	851	423
668	852	421
669	852	420
670	853	418
671	854	417
672	855	415
673	855	414
674	856	412
675	857	411
676	858	409
677	859	408
678	860	406
679	860	405
680	861	403
681	862	402
682	863	400
683	864	399
684	865	397
685	865	396
686	866	394
687	867	393
688	868	391
689	869	390
690	869	388
691	870	387
692	871	385
693	872	384
694	872	383
695	873	381
696	874	380
697	875	378
698	876	377
699	878	376
700	879	375
701	880	373
702	881	372
703	881	370
704	882	369
705	883	367
706	884	366
707	884	364
708	885	363
709	886	362
710	887	360
711	887	359
712	888	357
713	889	356
714	890	354
715	891	353
716	892	352
717	892	350
718	893	349
719	894	347
720	895	346
721	896	345
722	897	343
723	898	342
724	899	341
725	899	339
726	900	338
727	901	336
728	902	335
729	902	333
730	903	332
731	904	331
732	905	329
733	906	328
734	907	327
735	908	325
736	909	324
737	910	323
738	911	321
739	912	320
740	912	319
741	913	317
742	914	316
743	915	314
744	915	313
745	916	312
746	917	310
747	918	309
748	918	307
749	919	306
750	920	305
751	921	303
752	922	302
753	922	301
754	923	299
755	924	298
756	925	297
757	926	295
758	927	294
759	928	293
760	928	291
761	929	290
762	930	288
763	931	287
764	931	286
765	932	284
766	933	283
767	934	282
768	935	280
769	936	279
770	936	278
771	937	276
772	938	275
773	939	274
774	940	273
775	941	271
776	942	270
777	943	269
778	944	267
779	944	266
780	945	265
781	946	263
782	947	262
783	947	261
784	948	259
785	949	258
786	950	257
787	950	255
788	951	254
789	952	253
790	953	251
791	954	250
792	955	249
793	955	248
794	956	246
795	957	245
796	958	244
797	959	242
798	960	241
799	960	240
800	961	238
801	962	237
802	963	236
803	963	234
804	964	233
805	965	232
806	966	231
807	966	229
808	967	228
809	968	227
810	969	225
811	970	224
812	971	223
813	972	222
814	972	220
815	973	219
816	974	218
817	975	217
818	976	215
819	977	214
820	977	213
821	978	211
822	979	210
823	980	209
824	980	208
825	981	206
826	982	205
827	983	204
828	983	202
829	984	201
830	985	200
831	986	199
832	987	198
833	988	196
834	989	195
835	990	194
836	991	193
837	991	191
838	992	190
839	993	189
840	994	187
841	995	186
842	995	185
843	996	184
844	997	182
845	998	181
846	999	180
847	1000	179
848	1000	178
849	1001	176
850	1002	175
851	1003	174
852	1004	173
853	1005	171
854	1006	170
855	1006	169
856	1007	168
857	1008	166
858	1009	165
859	1010	164
860	1010	163
861	1011	161
862	1012	160
863	1012	159
864	1013	158
865	1014	156
866	1015	155
867	1016	154
868	1017	153
869	1018	152
870	1019	150
871	1020	149
872	1020	148
873	1021	147
874	1022	146
875	1023	144
876	1024	143
877	1025	142
878	1026	141
879	1027	140
880	1029	139
881	1030	137
882	1032	136
883	1033	135
884	1035	134
885	1036	133
886	1037	132
887	1037	130
888	1038	129
889	1039	128
890	1040	127
891	1040	126
892	1041	124
893	1042	123
894	1043	122
895	1044	121
896	1045	120
897	1046	118
898	1046	117
899	1047	116
900	1048	115
901	1049	114
902	1050	112
903	1050	111
904	1051	110
905	1052	109
906	1053	107
907	1053	106
908	1054	105
909	1055	104
910	1056	103
911	1057	102
912	1058	100
913	1059	99
914	1060	98
915	1061	97
916	1062	96
917	1063	94
918	1064	93
919	1064	92
920	1065	91
921	1066	90
922	1067	89
923	1068	87
924	1068	86
925	1069	85
926	1070	84
927	1071	83
928	1072	81
929	1073	80
930	1074	79
931	1075	78
932	1075	77
933	1076	76
934	1077	74
935	1078	73
936	1078	72
937	1079	71
938	1080	70
939	1081	69
940	1082	67
941	1082	66
942	1083	65
943	1084	64
944	1085	63
945	1086	62
946	1087	60
947	1088	59
948	1089	58
949	1090	57
950	1091	56
951	1091	55
952	1092	53
953	1093	52
954	1094	51
955	1094	50
956	1095	49
957	1096	48
958	1097	46
959	1098	45
960	1098	44
961	1099	43
962	1100	42
963	1101	41
964	1102	39
965	1103	38
966	1104	37
967	1105	36
968	1106	35
969	1107	34
970	1107	33
971	1108	31
972	1109	30
973	1110	29
974	1110	28
975	1111	27
976	1112	26
977	1112	25
978	1113	23
979	1114	22
980	1115	21
981	1116	20
982	1117	19
983	1118	18
984	1119	17
985	1120	15
986	1121	14
987	1122	13
988	1123	12
989	1123	11
990	1124	10
991	1125	9
992	1125	7
993	1126	6
994	1127	5
995	1128	4
996	1128	3
997	1129	2
998	1130	1
999	1131	0
