iter	RMSE
594	0.9323215134
595	0.932245243
596	0.9321053575
597	0.9320234559
598	0.931766244
599	0.931693374
600	0.9316316448
601	0.9315292085
602	0.9313485237
603	0.9310384993
604	0.9308103611
605	0.9306807824
606	0.9304863339
607	0.9304731365
608	0.9303356805
609	0.930200288
610	0.9300100854
611	0.9299979922
612	0.9297882297
613	0.9296202636
614	0.9295767354
615	0.9293551349
616	0.9293073429
617	0.9290965513
618	0.928875035
619	0.9287764029
620	0.9286423111
621	0.9284314247
622	0.9282669578
623	0.9280673503
624	0.9280328653
625	0.9279100632
626	0.927648668
627	0.9274183534
628	0.9272210273
629	0.9270300502
630	0.9268417466
631	0.9266902049
632	0.9265972803
633	0.9264858448
634	0.9263381495
635	0.9262153449
636	0.9260357975
637	0.9259500233
638	0.9257256208
639	0.9256234919
640	0.9256103315
641	0.9254642471
642	0.9253500947
643	0.9252837042
644	0.9252772869
645	0.9251991179
646	0.924973697
647	0.9249078237
648	0.9248154685
649	0.9247314964
650	0.9247203697
651	0.9246234681
652	0.9245835434
653	0.9245606375
654	0.9243922735
655	0.9240889143
656	0.9237992825
657	0.9236913327
658	0.9234573135
659	0.9232561438
660	0.9230749181
661	0.9230145802
662	0.9230004892
663	0.9229615648
664	0.9228380799
665	0.9226906159
666	0.9225999175
667	0.9225646585
668	0.9224723574
669	0.9222611275
670	0.9222580817
671	0.9220873934
672	0.9219349697
673	0.9219299421
674	0.9217378945
675	0.9216390371
676	0.9214586389
677	0.9213866174
678	0.9213815712
679	0.9211297118
680	0.921037799
681	0.9209284313
682	0.9207466605
683	0.9206015659
684	0.9205968579
685	0.9205522171
686	0.9204652628
687	0.9204534832
688	0.9204484174
689	0.920313839
690	0.9202571001
691	0.9201419861
692	0.9200847206
693	0.9198973805
694	0.9197250434
695	0.919563918
696	0.9194037652
697	0.9193069439
698	0.9191184031
699	0.9189995757
700	0.9189913608
701	0.9188883342
702	0.9188499256
703	0.9187556782
704	0.9185208841
705	0.9185165356
706	0.9185139434
707	0.9185070601
708	0.9184313516
709	0.9183329651
710	0.9182739265
711	0.9181053501
712	0.9179368746
713	0.9178664509
714	0.9176909899
715	0.9176071432
716	0.9173973286
717	0.9172904518
718	0.9172308918
719	0.9170942766
720	0.9169387281
721	0.9167897209
722	0.9167370837
723	0.9166548787
724	0.916530228
725	0.916370825
726	0.9163603303
727	0.9163504175
728	0.9161702791
729	0.9160949041
730	0.9160105653
731	0.9159496424
732	0.9159406687
733	0.9158470895
734	0.9156194357
735	0.9154746984
736	0.9154415584
737	0.9153928725
738	0.9151916769
739	0.9151081771
740	0.9149727505
741	0.9147457673
742	0.9146555876
743	0.9145532335
744	0.9145116573
745	0.9143044628
746	0.9141970362
747	0.914039824
748	0.9139966407
749	0.9138628709
750	0.9137765876
751	0.9135771012
752	0.9134824285
753	0.9134787769
754	0.913401315
755	0.9133298625
756	0.9131924901
757	0.9130438798
758	0.9129507065
759	0.9128105192
760	0.9127286437
761	0.9126047142
762	0.9125155295
763	0.9123049922
764	0.9122249835
765	0.9121191792
766	0.9120593374
767	0.9120502639
768	0.9120446552
769	0.9118541475
770	0.9116889444
771	0.9116844677
772	0.9115928993
773	0.9115422299
774	0.9114722365
775	0.9112409073
776	0.9110611013
777	0.9109565357
778	0.9107975623
779	0.9106444752
780	0.9105941756
781	0.9105009311
782	0.9104284655
783	0.9102792244
784	0.9102094646
785	0.9101618055
786	0.9100612911
787	0.9099928924
788	0.9099276983
789	0.9098725842
790	0.9098514992
791	0.9097228149
792	0.9096092556
793	0.9094984961
794	0.9093714221
795	0.9092123686
796	0.9091858339
797	0.9091214157
798	0.9089533659
799	0.9087931012
800	0.9087517522
801	0.9086148865
802	0.9085218308
803	0.9085174677
804	0.9085065307
805	0.9084528879
806	0.9083731398
807	0.9083465478
808	0.9082823163
809	0.9082215252
810	0.9082142761
811	0.9080731832
812	0.9079759241
813	0.9078235114
814	0.9076168876
815	0.9076133283
816	0.9074548259
817	0.9072626913
818	0.9072050695
819	0.9071500968
820	0.9070733885
821	0.9069071755
822	0.9067980225
823	0.906726571
824	0.9066901846
825	0.9066268763
826	0.9066198708
827	0.9066129584
828	0.9065121969
829	0.9064005835
830	0.9062771283
831	0.9061483222
832	0.9060080988
833	0.9060040611
834	0.905997583
835	0.9059801734
836	0.9058844232
837	0.9058286263
838	0.9057944483
839	0.9057271919
840	0.9056407959
841	0.9054987636
842	0.9054263466
843	0.9053553764
844	0.9052718741
845	0.9051232248
846	0.9050544575
847	0.9049598225
848	0.9049523986
849	0.9049146599
850	0.9048808263
851	0.9047626559
852	0.9046622138
853	0.9045882453
854	0.9044522261
855	0.9043525975
856	0.9042583408
857	0.9042255604
858	0.9040774063
859	0.9040099703
860	0.9039575484
861	0.9039268328
862	0.9039231501
863	0.9038408033
864	0.9038372486
865	0.9037975833
866	0.9037472628
867	0.9036365421
868	0.9035533116
869	0.9034662658
870	0.9034627763
871	0.9033817841
872	0.9033760434
873	0.9033729184
874	0.9032523086
875	0.9031536335
876	0.9031092625
877	0.9030492901
878	0.903004911
879	0.9029688439
880	0.9029668352
881	0.9029081409
882	0.9028688776
883	0.9027958954
884	0.9027904683
885	0.9027838347
886	0.9027727009
887	0.9026171462
888	0.9026120151
889	0.902608912
890	0.9024570629
891	0.9022918841
892	0.9022186991
893	0.902187292
894	0.9021009161
895	0.9020505579
896	0.9020388433
897	0.9020354393
898	0.9019605865
899	0.9018977159
900	0.9017827547
901	0.9017155478
902	0.9017037358
903	0.9016341064
904	0.9015932086
905	0.9015474461
906	0.9014677334
907	0.9014103406
908	0.9013914582
909	0.9013839281
910	0.9013269398
911	0.9012665313
912	0.9012258543
913	0.9011904666
914	0.9011176635
915	0.901107763
916	0.901050709
917	0.9010166516
918	0.9009384457
919	0.9009331609
920	0.9008896862
921	0.9007710917
922	0.9007216466
923	0.9006885179
924	0.9006084626
925	0.9006045643
926	0.9005874291
927	0.9005355362
928	0.90050721
929	0.9004785961
930	0.900441345
931	0.9003876801
932	0.9003355697
933	0.9002527075
934	0.9001741854
935	0.9001360817
936	0.900089619
937	0.9000381606
938	0.9000029454
939	0.8999626664
940	0.8999595995
941	0.8999466412
942	0.8999439876
943	0.8998976882
944	0.8998487464
945	0.8997990169
946	0.899720199
947	0.89969433
948	0.8995736165
949	0.8995553853
950	0.8994130491
951	0.899307512
952	0.8991861443
953	0.8991800834
954	0.8991398836
955	0.8991386175
956	0.8991222921
957	0.8990148659
958	0.8989491738
959	0.8989475505
960	0.8989200291
961	0.8988599735
962	0.8987384224
963	0.8987117738
964	0.8985924756
965	0.898566059
966	0.8984645056
967	0.898367585
968	0.8982485972
969	0.8981653734
970	0.8981257254
971	0.8980671757
972	0.8980164752
973	0.8980145232
974	0.8979933658
975	0.8979609779
976	0.8979263795
977	0.8977647943
978	0.8977272052
979	0.8976402386
980	0.8976244832
981	0.8975658296
982	0.8974951536
983	0.8973387391
984	0.8972315752
985	0.8971791997
986	0.8971029096
987	0.8970233858
988	0.8969118845
989	0.8968469953
990	0.8967892518
991	0.8967857962
992	0.8967190857
993	0.8966216672
994	0.8965604536
995	0.8965563996
996	0.8965260812
997	0.8964913426
998	0.8964697806
999	0.8964099233
